Id,SalePrice
1101,23370.44
1102,96046.87
1103,103970.62
1104,124098.08
1105,97930.36
1106,262754.03
1107,183383.14
1108,198200.83
1109,152782.38
1110,261534.98
1111,157830.08
1112,179815.83
1113,81718.95
1114,115133.79
1115,98532.87
1116,252818.98
1117,177847.27
1118,115996.62
1119,115321.47
1120,99311.82
1121,84980.02
1122,221451.55
1123,58770.79
1124,74705.45
1125,155301.31
1126,100164.11
1127,217005.56
1128,203520.23
1129,193856.52
1130,103888.0
1131,133473.16
1132,82628.54
1133,116916.195
1134,217719.23
1135,159853.3
1136,86799.83
1137,102041.35
1138,80092.93
1139,169520.75
1140,105060.64
1141,91486.13
1142,153354.98
1143,299078.5
1144,82096.65
1145,63312.14
1146,90627.11
1147,153211.23
1148,134502.73
1149,92606.91
1150,133663.14
1151,100156.96
1152,146158.73
1153,166830.97
1154,102598.664
1155,178762.77
1156,162192.28
1157,144103.12
1158,191809.9
1159,240901.05
1160,165888.55
1161,141223.89
1162,196874.98
1163,100364.96
1164,100995.83
1165,147988.02
1166,208122.47
1167,250143.83
1168,165958.75
1169,178983.62
1170,356699.7
1171,127697.85
1172,136291.52
1173,148877.22
1174,203168.16
1175,164580.77
1176,282824.97
1177,99253.11
1178,107595.92
1179,91593.45
1180,65454.56
1181,225816.39
1182,201298.88
1183,390983.1
1184,110866.3
1185,159360.8
1186,96541.87
1187,92630.305
1188,230328.45
1189,180389.73
1190,188876.3
1191,186136.98
1192,166724.67
1193,104048.78
1194,142606.84
1195,116447.086
1196,156801.64
1197,207897.88
1198,121147.34
1199,179433.08
1200,118699.17
1201,64489.043
1202,181889.73
1203,98057.664
1204,205672.12
1205,119495.98
1206,259157.94
1207,78520.836
1208,203383.36
1209,126956.54
1210,231321.08
1211,177570.3
1212,186141.03
1213,50832.848
1214,83321.445
1215,96928.48
1216,92808.42
1217,143388.28
1218,192149.9
1219,32625.04
1220,78998.02
1221,78204.65
1222,107413.35
1223,138649.45
1224,188350.52
1225,174461.39
1226,106844.15
1227,199490.33
1228,122244.09
1229,269103.16
1230,127860.18
1231,208553.5
1232,122160.48
1233,85742.3
1234,108365.2
1235,82444.82
1236,110733.57
1237,172648.88
1238,193492.3
1239,141898.34
1240,211010.27
1241,191673.75
1242,237841.08
1243,144702.61
1244,304042.97
1245,144636.9
1246,154525.78
1247,163763.11
1248,150543.5
1249,115184.516
1250,89358.45
1251,229648.45
1252,191646.72
1253,89781.6
1254,220765.89
1255,174884.72
1256,109375.055
1257,254028.38
1258,63101.27
1259,162186.78
1260,128445.89
1261,162725.69
1262,97106.93
1263,126710.16
1264,140774.75
1265,144394.9
1266,153723.17
1267,154832.77
1268,295549.28
1269,288805.03
1270,91075.81
1271,161723.23
1272,166450.11
1273,92537.92
1274,141955.14
1275,119600.61
1276,139830.73
1277,129687.766
1278,181815.03
1279,221971.84
1280,54800.547
1281,205308.14
1282,175607.53
1283,130414.086
1284,131594.8
1285,186531.5
1286,100402.1
1287,146511.31
1288,142394.73
1289,214793.61
1290,232476.73
1291,119494.06
1292,88567.86
1293,147725.94
1294,167456.31
1295,107656.73
1296,101451.125
1297,118713.54
1298,125058.3
1299,588160.2
1300,128777.43
1301,202431.39
1302,116084.79
1303,255259.0
1304,230013.02
1305,175649.45
1306,250740.25
1307,187751.36
1308,120365.82
1309,121081.164
1310,162275.84
1311,224596.69
1312,182211.64
1313,266605.28
1314,288688.94
1315,74958.92
1316,175898.45
1317,249327.66
1318,173237.45
1319,251771.03
1320,72473.31
1321,151290.44
1322,23721.059
1323,191479.23
1324,48287.766
1325,258170.17
1326,42846.08
1327,39834.797
1328,104699.32
1329,168981.19
1330,180737.11
1331,242944.86
1332,113704.55
1333,51585.3
1334,105226.27
1335,107446.74
1336,159261.73
1337,169437.52
1338,22985.748
1339,193850.97
1340,91167.42
1341,98090.01
1342,158218.69
1343,235061.33
1344,147156.14
1345,170806.9
1346,68281.59
1347,235255.78
1348,249729.94
1349,192704.12
1350,133238.11
1351,227740.94
1352,145668.92
1353,116753.96
1354,311475.34
1355,210873.92
1356,184827.48
1357,89053.96
1358,131695.89
1359,139872.12
1360,284940.25
1361,171037.08
1362,194305.14
1363,120580.914
1364,143702.11
1365,123530.05
1366,174476.69
1367,175481.64
1368,105428.664
1369,118742.51
1370,232643.17
1371,82762.37
1372,165664.34
1373,210040.92
1374,346722.97
1375,217813.88
1376,236271.64
1377,80614.836
1378,128421.15
